X,Y,ID,Foto,Poznamka,Datum,Typ,Presnost,Kresba,icon_url
16.6390586031349,49.2133442128398,1.000,photo_c33f9c03-9aaf-4d51-a39c-e06744f07d9f.jpg,,2021-03-15,obecny,"1.015",sk-20210315-131156.jpg,./0.png
16.6391103398178,49.2134051951116,2.000,photo_c37e8988-d2e6-4ff8-865b-714e00427c66.jpg,Stineny roh,2021-03-15,obecny,"1.142",sk-20210315-131332.jpg,./0.png
16.6389733870166,49.2133642479091,3.000,photo_f0ac8756-a4a9-44b6-9f7f-5c5fc120899b.jpg,Slusny roh,2021-03-15,obecny,"0.922",sk-20210315-131439.jpg,./0.png
